,Artist,Song Name,GPE,Line,Line Before,Line After
142,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, yes, I\'m King Kong","Call me 2 Chainz, name go ding dong","This is King Kong? Yes, Miss King Kong"
143,Nicki Minaj,Fuckin’ Problems,King Kong,"Bitch, it\'s King Kong, yes, I\'m King Kong","Call me 2 Chainz, name go ding dong","This is King Kong? Yes, Miss King Kong"
144,Nicki Minaj,Fuckin’ Problems,King Kong,"This is King Kong? Yes, Miss King Kong","Bitch, it\'s King Kong, yes, I\'m King Kong",In my kingdom wit\' my Timbs on
145,Nicki Minaj,Fuckin’ Problems,King Kong,"This is King Kong? Yes, Miss King Kong","Bitch, it\'s King Kong, yes, I\'m King Kong",In my kingdom wit\' my Timbs on
146,Nicki Minaj,Fuckin’ Problems,Mai Tai,"I need a Mai Tai, so fuckin\' sci-fi","Designer thigh highs, it\'s my lifestyle","Give me the password to the fuckin\' wifi219Embed', 'Beez In The Trap Lyrics[Intro: Nicki Minaj]"
147,Nicki Minaj,Fuckin’ Problems,South,"Niggas move weight in the South, but live in Hoboken","Rip it off, no joking, like your name Hulk Hogan","Bitch, I spit that crack, like I\'m in that trap"
148,Nicki Minaj,Fuckin’ Problems,Hoboken,"Niggas move weight in the South, but live in Hoboken","Rip it off, no joking, like your name Hulk Hogan","Bitch, I spit that crack, like I\'m in that trap"
149,Nicki Minaj,Fuckin’ Problems,Texas,"Man, I\'m out in Texas, man, I\'m out in A-town",[Verse 3: Nicki Minaj],Then I\'m up in Chi-town or Miami shuttin\' it down
150,Nicki Minaj,Fuckin’ Problems,Miami,Then I\'m up in Chi-town or Miami shuttin\' it down,"Man, I\'m out in Texas, man, I\'m out in A-town","It\'s that New Orleans, it\'s LA or The Bay"
151,Nicki Minaj,Fuckin’ Problems,New Orleans,"It\'s that New Orleans, it\'s LA or The Bay",Then I\'m up in Chi-town or Miami shuttin\' it down,"It\'s New York, Philly, and the whole DMV"
152,Nicki Minaj,Fuckin’ Problems,LA,"It\'s that New Orleans, it\'s LA or The Bay",Then I\'m up in Chi-town or Miami shuttin\' it down,"It\'s New York, Philly, and the whole DMV"
153,Nicki Minaj,Fuckin’ Problems,The Bay,"It\'s that New Orleans, it\'s LA or The Bay",Then I\'m up in Chi-town or Miami shuttin\' it down,"It\'s New York, Philly, and the whole DMV"
154,Nicki Minaj,Fuckin’ Problems,New York,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack"
155,Nicki Minaj,Fuckin’ Problems,Philly,"It\'s New York, Philly, and the whole DMV","It\'s that New Orleans, it\'s LA or The Bay","I\'m a Detroit player, man, it\'s North-South Cack"
156,Nicki Minaj,Fuckin’ Problems,Detroit,"I\'m a Detroit player, man, it\'s North-South Cack","It\'s New York, Philly, and the whole DMV","Ohio, Pittsburgh, got St. Louis on deck"
157,Nicki Minaj,Fuckin’ Problems,North-South Cack,"I\'m a Detroit player, man, it\'s North-South Cack","It\'s New York, Philly, and the whole DMV","Ohio, Pittsburgh, got St. Louis on deck"
158,Nicki Minaj,Fuckin’ Problems,Ohio,"Ohio, Pittsburgh, got St. Louis on deck","I\'m a Detroit player, man, it\'s North-South Cack","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks"
